,0
0,1.0025679788478852
1,1.0138033670126914
2,1.0161025364465712
3,1.0125350756505966
4,1.01862713386631
5,1.0145513715702057
6,1.0227899808488845
7,1.023153522210884
8,1.0359392390233995
9,1.0291114929967882
10,1.0344954148667336
11,1.0355029997348786
12,1.0347832248021125
13,1.0467740153324128
14,1.0541553220031739
15,1.06339257852993
16,1.067416560362911
17,1.0586491389903068
18,1.0588137759726524
19,1.0675191440849303
20,1.0736659337802885
21,1.0712154301383972
22,1.074261929430008
23,1.0695790317752838
24,1.0733858008103372
25,1.076652503419018
26,1.0727602643643381
27,1.066665580058098
28,1.068418332281685
29,1.0681322015125276
30,1.0673996791803362
31,1.0671773459280014
32,1.0685307255069731
33,1.0610718180241585
34,1.0578597976082802
35,1.0584869574709892
36,1.0601195144779205
37,1.0540214248688697
38,1.0531794635474205
39,1.0493745388328553
40,1.0494148779182433
41,1.0577782792908668
42,1.0560055765433312
43,1.0477125033337593
44,1.0304878025553703
45,1.0448905303145408
46,1.041543617555332
47,1.0478453036314965
48,1.063709532958603
49,1.070449852650261
50,1.0644123576297762
51,1.06488618225317
52,1.0722732978011131
53,1.0769238278594018
54,1.0720046838152886
55,1.0649132127010346
56,1.0729242731388093
57,1.0762455934658053
58,1.0659587277671816
59,1.0735510604812626
60,1.077674936899567
61,1.07366900520134
62,1.0739767182540896
63,1.0670948886051181
64,1.0629222208683016
65,1.073457389832497
66,1.065402689624596
67,1.0682268244127278
68,1.0624716395881657
69,1.0595744550319677
70,1.058098331930924
71,1.0670175538356788
72,1.070236853307534
73,1.068895533086205
74,1.0763637688974386
75,1.0890618234518057
76,1.0911661584598549
77,1.0857582175460823
78,1.081882834620667
79,1.0757422065206534
80,1.0750501339059837
81,1.0625063539302833
82,1.0528918231264122
83,1.0449778633451468
84,1.0433748196657187
85,1.0649629000646599
86,1.070566256609536
87,1.0644566033824927
88,1.0482024234949119
89,1.0667937136098868
90,1.0434008703041084
91,1.0584647546173103
92,1.0691731963918694
93,1.0800906501520162
94,1.0735172876655585
95,1.0842140562528617
96,1.091335909249497
97,1.0915325250091559
98,1.0958550874027257
99,1.09274277334652
100,1.0933248897607808
101,1.085551453732491
102,1.0698971757068638
103,1.0705292540824896
104,1.0795194056633002
105,1.0795753871315008
106,1.0923002925659184
107,1.0916341791250235
108,1.0994305149284367
109,1.0976037450588232
110,1.1117010478166585
111,1.1111779883647923
112,1.1130976027256017
113,1.116987945355416
114,1.1203907635459904
