,0
0,0.9964072527976989
1,1.0191389086860656
2,1.0121946277377127
3,1.0171979992993354
4,1.0305624860786915
5,1.0302706564470767
6,1.0241763307590006
7,1.0465815122949123
8,1.0498138661298273
9,1.0545676354411602
10,1.0562874194142817
11,1.0467969268939972
12,1.0429255532512187
13,1.0502021799060344
14,1.0487947334040164
15,1.0633700938724517
16,1.067166382055807
17,1.0732678051120756
18,1.0843648647605417
19,1.081340056885767
20,1.0874750603540897
21,1.0937818334211826
22,1.0962383975845813
23,1.0958444197302342
24,1.1004583136930943
25,1.100352971948862
26,1.1148342070358752
27,1.1156407969902515
28,1.115387160039568
29,1.1258716241373539
30,1.1250252335730075
31,1.1250337147703648
32,1.1368548495424746
33,1.1233339955385684
34,1.1192475417393208
35,1.1182401743686199
36,1.125129081265402
37,1.1380954140478612
38,1.1387747446017742
39,1.1406657129463673
40,1.1431603901922702
41,1.1424661808277607
42,1.1467244895336628
43,1.1434451581354619
44,1.1397095004950049
45,1.1396469755571843
46,1.1323854841227055
47,1.11762751062665
48,1.1173264131092548
49,1.1230320112398624
50,1.1366099829004765
51,1.1289800930211544
52,1.120615713943243
53,1.1181534917757512
54,1.1264622392778874
55,1.1266576429998876
56,1.1371012737428188
57,1.132771012401724
58,1.1293648112323285
59,1.1333278510487081
60,1.1464822877478125
61,1.1353511766561986
62,1.141830786159563
63,1.143875120569372
64,1.1530836862252711
65,1.149032832372427
66,1.1656138711595059
67,1.172289540272665
68,1.1779464899003507
69,1.1797915550918103
70,1.185477676009512
71,1.1838574926843168
72,1.1853984515506268
73,1.1807513211780074
74,1.1834438952880384
75,1.1898853521357062
76,1.1954235236391548
77,1.1965521350687507
78,1.1799717379354957
79,1.1741602652327063
80,1.1725216748727325
81,1.1738732479554657
82,1.1776889337651733
83,1.1646527239236357
84,1.170015704931784
85,1.1718812327657226
86,1.1550917613088134
87,1.165099290524817
88,1.1361084896276001
89,1.133547346225691
90,1.148303614712
91,1.1637092904669288
92,1.171257448060179
93,1.1775728303596023
94,1.1772024036443236
95,1.1837503545316221
96,1.1850105623548033
97,1.1957133909551145
98,1.206544201936865
99,1.2083776470654013
100,1.2062642052238943
101,1.2075417862413884
102,1.2044049680481435
103,1.2158867755785467
104,1.221260431419039
105,1.232251124770403
106,1.2222900380301
107,1.225657978716326
108,1.2298535620024207
109,1.2284075437961104
110,1.245795866993666
111,1.25433150292697
112,1.264775769059134
113,1.2673876731148246
114,1.2604628658353332
