,0
0,0.9941216617326737
1,0.9997166397845983
2,0.9891460874883891
3,0.9999206609675646
4,1.0108673473523617
5,1.0140006190306665
6,1.019280922907734
7,1.0088849474881174
8,1.0061529541477205
9,1.0111121881948473
10,1.0046416829800606
11,1.000820418539715
12,1.0036017624762534
13,1.0150535058050156
14,1.0141934767251968
15,1.0066994409748315
16,1.0033280417664765
17,0.9907386097754954
18,1.0277931939339875
19,1.039035153098273
20,1.0409399234150647
21,1.0353735903645038
22,1.0466004586699487
23,1.0455057685163498
24,1.0429670171822547
25,1.0229480060652734
26,1.011358740001774
27,1.0133367862152578
28,1.0045814178069354
29,1.0298137989653828
30,1.0240690986317875
31,1.007783961317921
32,1.0116355501884462
33,1.010195296195841
34,1.0193551066473008
35,1.0368704281263352
36,1.0454709972076417
37,1.055894987959385
38,1.0505837071811202
39,1.0659141658989908
40,1.0689242366595268
41,1.0728091285072328
42,1.0573541983648778
43,1.0667618942922117
44,1.0631128966602803
45,1.0794913122868062
46,1.0981194513602734
47,1.0980483867271424
48,1.1031824626001359
49,1.0999174056684495
50,1.0940106545499801
51,1.1060742455638888
52,1.1113547340202332
53,1.1092725673608304
54,1.1019450170646192
55,1.1006775414444447
56,1.1001127300916673
57,1.1063395386755945
58,1.0929281646317484
59,1.0834681782083035
60,1.0910850616148473
61,1.1043894192401411
62,1.1028491684647561
63,1.1055882332251075
64,1.1065702141990663
65,1.0956610135076525
66,1.1001120333959582
67,1.0794608551546099
68,1.0724813650871279
69,1.0759966778851033
70,1.0747941424047949
71,1.0921211676706792
72,1.0975347274789813
73,1.089366682716656
74,1.064304276361561
75,1.0560565442936423
76,1.0718918531076433
77,1.088938572526169
78,1.0613215294563296
79,1.0550512177359583
80,1.0559111223454478
81,1.0558912455691816
82,1.0653944566480162
83,1.0563486637947561
84,1.0653721681643964
85,1.0725753106796265
86,1.0588523321059229
87,1.0722460103588582
88,1.0452980679575443
89,1.048710140575266
90,1.053741996365881
91,1.0554813653203488
92,1.0590895770094395
93,1.0532225473403931
94,1.0604799479314804
95,1.0403902686796664
96,1.0402166175047873
97,1.0208782849541187
98,1.0245808531595706
99,1.0414512860846041
100,1.049000809267664
101,1.044717873875141
102,1.0358696290440081
103,1.0412952962643145
104,1.0554515643808842
105,1.052699116118288
106,1.0656746077316759
107,1.073488802917051
108,1.0821030823251243
109,1.091156994102907
110,1.0892622907693383
111,1.0953623632364746
112,1.0959105747738358
113,1.0904271465595718
114,1.0895623960184093
